"Username","Date","Rating","Comment","Link"
"khusru quadri",6/3/2018 6:34:03 PM,"none","May Allah swt forgives all your sins n accepts all your good deeds. May you be blessed by jannatul furious in the sadqe of Rasul-e-paak n in the sadque of the holy month of Ramadan-e-kareem. May Allah swt on the judgement day announces  your house beside the house of Rasul-e-paak in jannah. AMEEN YA RABBALALAMEEN AMEEN.💖💖💖","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwMYrN5XAqeJpOvo3t4AaABAg"
"Fridah Karimi",6/3/2018 5:58:15 PM,"none","May your soul rest in peace bro😢😢😢😢","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgyfJgYfcW54Yo6Gvdl4AaABAg"
"Yuslanos D Lacintos",6/3/2018 3:47:49 PM,"none","wellcome to jannah ali....","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgyDg3rLDVlY7yrROyp4AaABAg"
"Brahim Agandouz",6/3/2018 3:44:25 PM,"none","Allah yarhamou wal AlhamdouliLAH 3alakoulee haal. 
And for the 622 like maken jullie geen fouten hij heeft berouw getoond zijn geld uitgedeeld projecten gestart. Moge Allah hem vergeven in het hiernamaals. Ameen ja ALLAH.   Deze wereld is vol materialisme daarom mensen weet he laat alles achter!!! Wat neem je mee SALAAT WA  ZAKAAT . ALLAH EHDEENA","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgySdG0mqmQ8NitBnAd4AaABAg"
"Umme Ammara",6/3/2018 3:41:44 PM,"none","Allah in ko apna bna le pasand frmaye behtreen jannatul firdous m muqam ata frmaye Aameen ya Allah.","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugy42hqs6M8BmyKdRlx4AaABAg"
"ahmed waes",6/3/2018 3:26:55 PM,"none","about of Ali banat
https://youtu.be/t86Y4huNpaY","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgxzikMOqnek4D4HIlB4AaABAg"
"Yin Ki Lai",6/3/2018 2:53:16 PM,"none","Jesus is son Of GOD..HE.LOVES YOU all brothers and sisters...John 3:18..and John 8:12 Then Jesus spoke to them again,saying,""I am the light of the world.He.who follows Me shall not walk in darknes,but have the light of life""....come to.Jesus if you still a live..He loves You so much ..Amen ..He is coming back soon","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwlSc4e6M6fvpsa0Et4AaABAg"
"جاويه",6/3/2018 2:32:03 PM,"none","الله يرحمه يا رب يسكنه فسيح جنته ...","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgwJHPvpYb4pa__NlcZ4AaABAg"
"yassin boudiaf",6/3/2018 12:59:12 PM,"none","ربي يرحمه وبغفر له","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=Ugy8UgVqAkV-vksQbuB4AaABAg"
"Sameh Soltani",6/3/2018 12:48:50 PM,"none","الله يرحمو  ويجعل مثواه  الجنة","https://www.youtube.com/watch?v=qKePvjYJAY8&lc=UgyjIoVxtRRysLEhJhR4AaABAg"
